#################### NETWORK STATS 15/12/2022 16:06:43 ####################
Sent,0.0 MB
Received,0.0966796875 MB
#################### NETWORK STATS 15/12/2022 16:06:44 ####################
Sent,0.083984375 MB
Received,0.1328125 MB
#################### NETWORK STATS 15/12/2022 16:06:46 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 16:06:47 ####################
Sent,0.3173828125 MB
Received,0.1767578125 MB
#################### NETWORK STATS 15/12/2022 16:06:48 ####################
Sent,0.0537109375 MB
Received,0.064453125 MB
#################### NETWORK STATS 15/12/2022 16:06:49 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 16:06:51 ####################
Sent,0.419921875 MB
Received,0.5712890625 MB
#################### NETWORK STATS 15/12/2022 16:06:52 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 16:07:53 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 16:07:54 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 16:07:55 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 16:07:57 ####################
Sent,0.5625 MB
Received,3.9130859375 MB
#################### NETWORK STATS 15/12/2022 16:07:58 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 15/12/2022 16:07:59 ####################
Sent,0.0 MB
Received,0.0 MB
