deleted network stats,12-12-2022_20:28:36
#################### NETWORK STATS 12/12/2022 20:28:07 ####################
Sent,0.064453125 MB
Received,0.0 MB
#################### NETWORK STATS 12/12/2022 20:28:08 ####################
Sent,0.171875 MB
Received,0.12890625 MB
#################### NETWORK STATS 12/12/2022 20:28:10 ####################
Sent,4.076171875 MB
Received,1077.2890625 MB
#################### NETWORK STATS 12/12/2022 20:28:11 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 12/12/2022 20:28:12 ####################
Sent,0.7783203125 MB
Received,5.4375 MB
#################### NETWORK STATS 12/12/2022 20:28:14 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 12/12/2022 20:28:15 ####################
Sent,5.162109375 MB
Received,1603.8193359375 MB
#################### NETWORK STATS 12/12/2022 20:28:16 ####################
Sent,0.1435546875 MB
Received,0.3544921875 MB
#################### NETWORK STATS 12/12/2022 20:28:17 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 12/12/2022 20:28:19 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 12/12/2022 20:28:20 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 12/12/2022 20:28:21 ####################
Sent,0.8310546875 MB
Received,7.6162109375 MB
#################### NETWORK STATS 12/12/2022 20:28:22 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 12/12/2022 20:28:24 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 12/12/2022 20:28:25 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 12/12/2022 20:28:26 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 12/12/2022 20:28:27 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 12/12/2022 20:28:29 ####################
Sent,5.494140625 MB
Received,910.1962890625 MB
#################### NETWORK STATS 12/12/2022 20:28:30 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 12/12/2022 20:28:31 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 12/12/2022 20:28:33 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 12/12/2022 20:28:34 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 12/12/2022 20:28:35 ####################
Sent,0.0537109375 MB
Received,0.0 MB
#################### NETWORK STATS 12/12/2022 20:28:36 ####################
Sent,1.025390625 MB
Received,0.98828125 MB
#################### NETWORK STATS 12/12/2022 20:29:27 ####################
Sent,2.3583984375 MB
Received,93.427734375 MB
#################### NETWORK STATS 12/12/2022 20:29:28 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 12/12/2022 20:29:29 ####################
Sent,0.0537109375 MB
Received,0.0 MB
#################### NETWORK STATS 12/12/2022 20:29:31 ####################
Sent,0.4404296875 MB
Received,0.6298828125 MB
#################### NETWORK STATS 12/12/2022 20:29:32 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 12/12/2022 20:29:33 ####################
Sent,0.10546875 MB
Received,0.052734375 MB
#################### NETWORK STATS 12/12/2022 20:29:34 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 13/12/2022 14:01:22 ####################
Sent,0.052734375 MB
Received,0.44140625 MB
#################### NETWORK STATS 13/12/2022 14:01:24 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 13/12/2022 14:01:25 ####################
Sent,0.0537109375 MB
Received,0.064453125 MB
#################### NETWORK STATS 13/12/2022 14:01:26 ####################
Sent,0.1396484375 MB
Received,0.271484375 MB
#################### NETWORK STATS 13/12/2022 14:01:27 ####################
Sent,0.9990234375 MB
Received,0.34765625 MB
#################### NETWORK STATS 13/12/2022 14:01:29 ####################
Sent,0.263671875 MB
Received,0.0 MB
#################### NETWORK STATS 13/12/2022 14:01:30 ####################
Sent,0.2119140625 MB
Received,0.732421875 MB
#################### NETWORK STATS 13/12/2022 14:01:31 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 13/12/2022 14:01:32 ####################
Sent,0.0 MB
Received,0.0 MB
#################### NETWORK STATS 13/12/2022 14:01:34 ####################
Sent,0.0 MB
Received,0.0 MB
