In use memory,11.36 GB
Memory usage,4.51%
#################### MEMORY STATS 12/12/2022 20:27:43 ####################
Total memory,15.87 GB
Available memory,4.54 GB
In use memory,11.33 GB
Memory usage,4.54%
#################### MEMORY STATS 12/12/2022 20:27:44 ####################
Total memory,15.87 GB
Available memory,4.54 GB
In use memory,11.33 GB
Memory usage,4.54%
#################### MEMORY STATS 12/12/2022 20:27:46 ####################
Total memory,15.87 GB
Available memory,4.54 GB
In use memory,11.33 GB
Memory usage,4.54%
#################### MEMORY STATS 12/12/2022 20:27:47 ####################
Total memory,15.87 GB
Available memory,4.54 GB
In use memory,11.33 GB
Memory usage,4.54%
#################### MEMORY STATS 12/12/2022 20:27:48 ####################
Total memory,15.87 GB
Available memory,4.54 GB
In use memory,11.33 GB
Memory usage,4.54%
#################### MEMORY STATS 12/12/2022 20:27:49 ####################
Total memory,15.87 GB
Available memory,4.55 GB
In use memory,11.32 GB
Memory usage,4.55%
#################### MEMORY STATS 12/12/2022 20:27:51 ####################
Total memory,15.87 GB
Available memory,4.55 GB
In use memory,11.32 GB
Memory usage,4.55%
#################### MEMORY STATS 12/12/2022 20:27:52 ####################
Total memory,15.87 GB
Available memory,4.46 GB
In use memory,11.41 GB
Memory usage,4.46%
#################### MEMORY STATS 12/12/2022 20:27:53 ####################
Total memory,15.87 GB
Available memory,4.6 GB
In use memory,11.27 GB
Memory usage,4.6%
#################### MEMORY STATS 12/12/2022 20:27:55 ####################
Total memory,15.87 GB
Available memory,4.48 GB
In use memory,11.39 GB
Memory usage,4.48%
#################### MEMORY STATS 12/12/2022 20:27:56 ####################
Total memory,15.87 GB
Available memory,4.48 GB
In use memory,11.39 GB
Memory usage,4.48%
#################### MEMORY STATS 12/12/2022 20:27:57 ####################
Total memory,15.87 GB
Available memory,4.48 GB
In use memory,11.39 GB
Memory usage,4.48%
#################### MEMORY STATS 12/12/2022 20:27:58 ####################
Total memory,15.87 GB
Available memory,4.5 GB
In use memory,11.37 GB
Memory usage,4.5%
#################### MEMORY STATS 12/12/2022 20:28:00 ####################
Total memory,15.87 GB
Available memory,4.48 GB
In use memory,11.39 GB
Memory usage,4.48%
#################### MEMORY STATS 12/12/2022 20:28:01 ####################
Total memory,15.87 GB
Available memory,4.5 GB
In use memory,11.37 GB
Memory usage,4.5%
#################### MEMORY STATS 12/12/2022 20:28:02 ####################
Total memory,15.87 GB
Available memory,4.55 GB
In use memory,11.32 GB
Memory usage,4.55%
#################### MEMORY STATS 12/12/2022 20:28:03 ####################
Total memory,15.87 GB
Available memory,4.55 GB
In use memory,11.32 GB
Memory usage,4.55%
#################### MEMORY STATS 12/12/2022 20:28:05 ####################
Total memory,15.87 GB
Available memory,4.55 GB
In use memory,11.32 GB
Memory usage,4.55%
#################### MEMORY STATS 12/12/2022 20:28:06 ####################
Total memory,15.87 GB
Available memory,4.54 GB
In use memory,11.33 GB
Memory usage,4.54%
#################### MEMORY STATS 12/12/2022 20:28:07 ####################
Total memory,15.87 GB
Available memory,4.55 GB
In use memory,11.32 GB
Memory usage,4.55%
#################### MEMORY STATS 12/12/2022 20:28:08 ####################
Total memory,15.87 GB
Available memory,4.54 GB
In use memory,11.33 GB
Memory usage,4.54%
#################### MEMORY STATS 12/12/2022 20:28:10 ####################
Total memory,15.87 GB
Available memory,4.55 GB
In use memory,11.32 GB
Memory usage,4.55%
#################### MEMORY STATS 12/12/2022 20:28:11 ####################
Total memory,15.87 GB
Available memory,4.55 GB
In use memory,11.32 GB
Memory usage,4.55%
#################### MEMORY STATS 12/12/2022 20:28:12 ####################
Total memory,15.87 GB
Available memory,4.58 GB
In use memory,11.3 GB
Memory usage,4.58%
#################### MEMORY STATS 12/12/2022 20:28:14 ####################
Total memory,15.87 GB
Available memory,4.57 GB
In use memory,11.3 GB
Memory usage,4.57%
