deleted cpu stats,15-12-2022_16:07:55
#################### CPU STATS 15/12/2022 16:07:53 ####################
CPU,Core 1,0.0%
CPU,Core 2,0.0%
CPU,Core 3,6.2%
CPU,Core 4,0.0%
CPU,Core 5,3.1%
CPU,Core 6,0.0%
CPU,Core 7,0.0%
CPU,Core 8,0.0%
CPU,Core 9,0.0%
CPU,Core 10,0.0%
CPU,Core 11,0.0%
#################### CPU STATS 15/12/2022 16:24:13 ####################
CPU,Core 0,3.1%
CPU,Core 1,6.2%
CPU,Core 2,3.1%
CPU,Core 3,3.1%
CPU,Core 4,0.0%
CPU,Core 5,3.1%
CPU,Core 6,0.0%
CPU,Core 7,3.1%
CPU,Core 8,3.1%
CPU,Core 9,0.0%
CPU,Core 10,3.1%
CPU,Core 11,0.0%
